,Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Aruba,ABW,Agricultural land (% of land area),,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,,,
1,Afghanistan,AFG,Agricultural land (% of land area),,57.745917960971695,57.837821278681496,57.914407376773006,58.010905860368204,58.0139693042919,58.0721747388414,58.1732683883222,58.174800110284,58.199307661673295,58.214624881291506,58.260576540146396,58.2758937597647,58.2789572036884,58.2789572036884,58.2789572036884,58.2789572036884,58.282020647612,58.282020647612,58.280488925650204,58.280488925650204,58.2866158134975,58.288147535459395,58.288147535459395,58.288147535459395,58.288147535459395,58.288147535459395,58.274362037802895,58.266703427993704,58.266703427993704,58.266703427993704,58.2513862083755,58.2513862083755,58.104340900039794,57.919002542658504,57.827099224948704,57.8255675029869,57.8837729375364,58.001715528597295,57.827099224948704,57.827099224948704,57.827099224948704,57.827099224948704,58.06757957295589,58.069111294917704,58.06757957295589,58.06757957295589,58.06757957295589,58.06757957295589,58.06757957295589,58.069111294917704,58.06757957295589,58.06757957295589,58.06757957295589,58.06757957295589,58.06757957295589,58.06757957295589,,,
2,Angola,AGO,Agricultural land (% of land area),,45.8570626453838,45.881126173097,45.897168524905794,45.9212320526189,45.9372744044277,45.96133793214089,45.985401459854,46.009464987567206,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0447581615465,46.0816555707067,46.121761450228604,46.121761450228604,46.121761450228604,46.121761450228604,46.121761450228604,46.121761450228604,46.121761450228604,46.0415496911847,45.96133793214089,45.96133793214089,46.033528515280295,46.1939520333681,46.1939520333681,46.1939520333681,46.1939520333681,46.274163792412004,46.274163792412004,46.75543434667521,46.8356461057191,47.3169166599824,47.3169166599824,47.477340178070094,47.477340178070094,47.477340178070094,47.477340178070094,,,
3,Albania,ALB,Agricultural land (% of land area),,44.963503649635,44.963503649635,45.0,44.8905109489051,45.145985401459896,45.2554744525547,45.4014598540146,45.2554744525547,45.07299270072989,44.8905109489051,43.7956204379562,42.846715328467205,41.8248175182482,40.948905109489104,39.4160583941606,39.2335766423358,40.4744525547445,40.6569343065693,40.7664233576642,40.8029197080292,40.7299270072993,40.6569343065693,40.5109489051095,40.6204379562044,40.5839416058394,40.5474452554745,40.5474452554745,40.7664233576642,40.5109489051095,40.912408759124105,41.1313868613139,41.1313868613139,41.09489051094889,41.09489051094889,41.1313868613139,41.2773722627737,41.423357664233606,41.569343065693396,41.788321167883204,41.7518248175182,41.569343065693396,41.605839416058394,40.912408759124105,40.948905109489104,39.3065693430657,40.875912408759106,40.8394160583942,43.1021897810219,43.8430674754792,43.8430674754792,43.8321167883212,43.8430674754792,43.3321185703697,42.8573006957117,42.857666015625206,43.1277354442292,,,
4,Andorra,AND,Agricultural land (% of land area),,55.31914893617021,55.31914893617021,55.31914893617021,55.31914893617021,55.31914893617021,55.31914893617021,55.31914893617021,55.31914893617021,55.31914893617021,55.31914893617021,53.1914893617021,53.1914893617021,51.063829787234,51.063829787234,51.063829787234,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.4042553191489,48.6170220882334,48.638299170960906,48.5319137573243,46.382977100128706,46.340426992862795,44.191490335667496,44.17021325294001,44.191490335667496,42.0638307611994,42.0638307611994,39.9148941040038,40.0212754594519,40.0212754594519,40.0212754594519,39.957448269458496,,,
5,Arab World,ARB,Agricultural land (% of land area),,27.8356427346175,27.826564327351104,27.8455221778192,27.847925285625,27.866972140085803,27.8661711041505,27.918594455914196,27.9450286417781,28.003326257067105,28.0704352676441,28.2982854892316,28.3469706732974,28.331851856444803,28.3905056965221,28.3543699467932,28.429222571231698,28.445777372831696,28.494106712986397,28.5074573594379,28.6018019276958,28.2285712533225,28.252579274945603,28.304860408623,28.7989785138785,29.2195630446492,29.654082084493197,30.1431785626854,30.5893571670972,31.0401461990962,31.5346007323851,31.639376612255898,31.741281663207303,32.458656904040296,33.1334863787582,33.742541785708106,34.3855487127142,34.978268294268396,35.7112798000369,36.3295809477876,36.310596362310704,36.3065822731884,36.369508212190794,36.4166496337839,36.4843620162531,36.5405009627573,36.4892213515993,36.4941629165024,36.4129544341629,36.372260889549295,36.425990214281796,36.440808209981704,36.4722999471565,36.5345027371875,36.6074748752316,36.6247594678781,36.6108495095988,,,
6,United Arab Emirates,ARE,Agricultural land (% of land area),,2.9287524640946203,2.9287524640946203,2.9287524640946203,2.9287524640946203,2.94283300478738,2.95691354548015,2.95691354548015,2.95691354548015,2.95691354548015,2.98507462686567,2.98507462686567,2.98507462686567,2.9991551675584303,3.0132357082512002,3.02731624894396,3.04139678963672,3.05547733032948,3.06955787102225,3.0836384117150097,3.1399605744860604,3.19628273725711,3.19628273725711,3.26668544072092,3.26668544072092,3.30892706279921,3.3511686848775,3.3511686848775,3.3652492255702597,3.3652492255702597,4.01295409743734,4.36496761475641,4.77330329484652,4.99859194593072,5.237961137707691,5.39284708532808,5.51957195156294,5.632216277105041,5.674457899183331,7.335961700929309,7.77245846240496,7.983666572796401,8.03998873556744,7.871022247254291,7.871022247254291,7.913263869332581,7.65418157682256,7.569698332665981,7.6682621175153205,5.532244352245621,5.5941986453529795,5.54069276260208,5.3745425543090795,5.4125597563571395,5.45620951844551,5.46043350877174,5.4745140494645,,,
7,Argentina,ARG,Agricultural land (% of land area),,50.3633951963869,49.8536553281519,49.2839890524685,48.7073800832392,48.1530608143414,47.8490439180178,47.39411478830271,47.2231052841206,47.2475874139928,47.2395485056766,47.1935074853199,47.14746646496321,47.1014254446064,47.05538442424971,47.009343403893006,46.9633023835363,46.9172613631796,46.871220342822895,46.825179322466205,46.7791383021095,46.7330972817528,47.0528265897855,47.00715097435221,46.9607445490721,46.91470352871529,46.868662508358604,46.74954050330871,46.5452791510913,46.578165594203206,46.612879061932496,46.6475925296617,46.682305997391005,46.717019465120295,46.7528291476199,46.7882734251961,46.82371770277229,46.857700360654704,46.892413828383894,46.922377032108095,46.9581867146078,46.9932655872605,47.031267699301004,47.82547530045421,49.0903244430315,50.351884941297705,51.5600963207378,52.6303673415696,52.713679664119795,52.54230475501429,53.8902835176801,54.18260745645289,54.53814644698521,54.5180491761946,54.3357121193851,54.3357121193851,54.3357121193851,,,
8,Armenia,ARM,Agricultural land (% of land area),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0958904109589,41.4822620302072,42.1496311907271,43.695117667720396,45.87284861257461,46.7860906217071,46.6455918510713,46.4699683877766,46.4699683877766,46.6455918510713,48.8584474885845,50.72005619950829,52.8626624517035,56.375131717597505,61.693011043697204,61.534949926732,61.426064237026,61.3382525053786,60.9413417632596,59.645239746608404,59.11485774499471,59.11485774499471,59.034069236806495,58.8935704661707,58.897086365582396,,,
9,American Samoa,ASM,Agricultural land (% of land area),,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0000002384186,16.0000002384186,16.0000002384186,17.5,20.0,20.0,23.499999046325698,23.949999809265197,24.000000953674302,22.5,22.5,25.199999809265197,25.0,25.0,25.0,24.000000953674302,24.000000953674302,24.5000004768372,24.5000004768372,24.5000004768372,24.5000004768372,24.5000004768372,24.5000004768372,24.5000004768372,24.5000004768372,,,
